hashtag_1,hashtag_2,count
#pakistan,#podcast,1
#jointpact,#turkiye,1
#jointpact,#saudiarabia,1
#jointpact,#podcast,1
#jointpact,#pakistan,1
#azk,#turkiye,1
#azk,#saudiarabia,1
#azk,#podcast,1
#EXCLUSIVE,#Lavrov,1
#GlobalDiplomacy,#JointDefencePact,1
#Geopolitics,#StrategicAlliance,1
#Geopolitics,#SouthAsiaSecurity,1
#Geopolitics,#SaudiTurkPakPact,1
#Geopolitics,#MilitaryCooperation,1
#Geopolitics,#MiddleEastDefense,1
#Geopolitics,#JointDefencePact,1
#Geopolitics,#GlobalDiplomacy,1
#DefenceAnalysis,#StrategicAlliance,1
#DefenceAnalysis,#SouthAsiaSecurity,1
#DefenceAnalysis,#SaudiTurkPakPact,1
#DefenceAnalysis,#MilitaryCooperation,1
#DefenceAnalysis,#MiddleEastDefense,1
#DefenceAnalysis,#JointDefencePact,1
#DefenceAnalysis,#GlobalDiplomacy,1
#DefenceAnalysis,#Geopolitics,1
#MilitaryCooperation,#SouthAsiaSecurity,1
#MilitaryCooperation,#SaudiTurkPakPact,1
#MiddleEastDefense,#StrategicAlliance,1
#MiddleEastDefense,#SouthAsiaSecurity,1
#MiddleEastDefense,#SaudiTurkPakPact,1
#MiddleEastDefense,#MilitaryCooperation,1
#JointDefencePact,#StrategicAlliance,1
#JointDefencePact,#SouthAsiaSecurity,1
#JointDefencePact,#SaudiTurkPakPact,1
#JointDefencePact,#MilitaryCooperation,1
#JointDefencePact,#MiddleEastDefense,1
#GlobalDiplomacy,#StrategicAlliance,1
#GlobalDiplomacy,#SouthAsiaSecurity,1
#GlobalDiplomacy,#SaudiTurkPakPact,1
#GlobalDiplomacy,#MilitaryCooperation,1
#GlobalDiplomacy,#MiddleEastDefense,1
#Pakistan,#Palestine,1
#Lebanon,#Yemen,1
#Lebanon,#Syria,1
#Lebanon,#Palestine,1
#Lebanon,#Pakistan,1
#Iraq,#Syria,1
#Iraq,#Palestine,1
#Iraq,#Pakistan,1
#Iraq,#Lebanon,1
#Iran,#Syria,1
#Iran,#Palestine,1
#Iran,#Lebanon,1
#SouthAsiaSecurity,#StrategicAlliance,1
